,quantifier,dataset,abs_error,run_time
0,(REG)Top-1,1043_ada_agnostic,0.040433588242501435,0.046576107499977246
1,(REG)Top-1,1460_banana,0.05199999999999996,0.20009757650000207
2,(REG)Top-1,1462_banknote-authentication,0.008649999999999993,0.19480400699998424
3,(REG)Top-1,1466_cardiotocography,0.0,0.00023602100000966
4,(REG)Top-1,1475_first-order-theorem-proving,0.0672346055980092,0.04669319099992204
5,(REG)Top-1,1479_hill-valley,0.05589999999999997,0.19437160699999365
6,(REG)Top-1,1485_madelon,0.26146822982330564,0.045980717999991566
7,(REG)Top-1,1489_phoneme,0.05945956242006762,0.0460550469999816
8,(REG)Top-1,1494_qsar-biodeg,0.04089189737756033,0.04422561250003123
9,(REG)Top-1,1496_ringnorm,0.05464999999999998,0.19966765199996186
10,(REG)Top-1,1497_wall-robot-navigation,0.07299999999999997,0.20136633499998421
11,(REG)Top-1,1504_steel-plates-fault,0.0018500000000000075,0.19545530900001717
12,(REG)Top-1,1507_twonorm,0.009749999999999977,0.20151106150000483
13,(REG)Top-1,1526_wall-robot-navigation,0.053129442665647494,0.04637597349998937
14,(REG)Top-1,1535_volcanoes-b5,0.05872880497450145,0.04644017400003572
15,(REG)Top-1,1538_volcanoes-d1,0.0550960784313725,0.000151073999968456
16,(REG)Top-1,1539_volcanoes-d2,0.07382608595448756,0.04618021699992819
17,(REG)Top-1,1540_volcanoes-d3,0.05341243281222155,0.04631499500017521
18,(REG)Top-1,1541_volcanoes-d4,0.08059507174701785,0.047379905999860014
19,(REG)Top-1,1566_hill-valley,0.0858944267756651,0.00010528600007088082
20,(REG)Top-1,182_satimage,0.010835519160204168,0.00011494200007286306
21,(REG)Top-1,23_cmc,0.10178121958535463,0.04725331049987285
22,(REG)Top-1,28_optdigits,0.01586191347662762,0.00010843099988046184
23,(REG)Top-1,294_satellite_image,0.009757178584753199,0.04813753050002556
24,(REG)Top-1,2dplanes,0.033056760653197355,0.05259284599975213
25,(REG)Top-1,30_page-blocks,0.03289974484471881,0.025784462000010486
26,(REG)Top-1,312_scene,0.018320989785784975,0.04785133999999739
27,(REG)Top-1,375_JapaneseVowels,0.01818700667261092,0.000116465499995633
28,(REG)Top-1,40474_thyroid-allbp,0.04867813529227447,0.048784635500141976
29,(REG)Top-1,40475_thyroid-allhyper,0.05079999999999996,0.10713061299999023
30,(REG)Top-1,40733_yeast,0.07988854502119389,0.047187079000123006
31,(REG)Top-1,44_spambase,0.023251366780697474,0.00010939100002355406
32,(REG)Top-1,4538_GesturePhaseSegmentationProcessed,0.0996735372307729,0.04974072100001645
