dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
1043_ada_agnostic,"['SMM', 'DyS', 'SORD', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[0.11853431 0.11685564 0.11168792 0.11033151 0.11032388 0.09994892
 0.09904348 0.09193207 0.0544939  0.04509798 0.0417504 ]","[np.float64(0.089353203993402), np.float64(0.0906367891281056), np.float64(0.09483049531288079), np.float64(0.0959963296993788), np.float64(0.09600297594898169), np.float64(0.10596833022096089), np.float64(0.1069370803661965), np.float64(0.11520920200006), np.float64(0.194359759211547), np.float64(0.2348535689607119), np.float64(0.2536842885606674)]","['SORD', 'SMM', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[0.12773813 0.12527847 0.12123221 0.1203353  0.1074801  0.10208361
 0.09798387 0.07782451 0.06598508 0.02876273 0.02529599]","[np.float64(0.038200000000000005), np.float64(0.03895), np.float64(0.04025), np.float64(0.040549999999999996), np.float64(0.0454), np.float64(0.0478), np.float64(0.049800000000000004), np.float64(0.0627), np.float64(0.07395), np.float64(0.16965), np.float64(0.1929)]"
1460_banana,"['HDy', 'DyS', 'SORD', 'MAX', 'PCC', 'ACC', 'X', 'SMM', 'MS', 'CC', 'PACC']","[0.12806813 0.10690063 0.10274861 0.10006598 0.09270753 0.09233429
 0.09144004 0.08770749 0.07958601 0.06894901 0.04949228]","[np.float64(0.15426827428823675), np.float64(0.1848150854688145), np.float64(0.19228337501962772), np.float64(0.19743821581411722), np.float64(0.21310943742749977), np.float64(0.21397088037797757), np.float64(0.21606344835684133), np.float64(0.22525841837783694), np.float64(0.24824526875121722), np.float64(0.28654289440770186), np.float64(0.39919048892833053)]","['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC']","[0.27492401 0.15858068 0.11337073 0.11310165 0.06749787 0.05630582
 0.05452345 0.04635554 0.04345303 0.04329512 0.0285921 ]","[np.float64(0.052000000000000005), np.float64(0.09015000000000001), np.float64(0.1261), np.float64(0.1264), np.float64(0.2118), np.float64(0.2539), np.float64(0.2622), np.float64(0.3084), np.float64(0.32899999999999996), np.float64(0.33020000000000005), np.float64(0.5)]"
1462_banknote-authentication,"['PCC', 'DyS', 'SORD', 'X', 'MS', 'MAX', 'CC', 'ACC', 'SMM', 'HDy', 'PACC']","[0.09551539 0.09427463 0.09244987 0.09192028 0.0918431  0.09169356
 0.09121985 0.09096464 0.0909469  0.09092638 0.0782454 ]","[np.float64(0.10315511753323746), np.float64(0.1045127628238808), np.float64(0.10657561398393917), np.float64(0.1071896382477277), np.float64(0.10727971914621048), np.float64(0.10745467706736112), np.float64(0.10801268764480756), np.float64(0.10831573067925321), np.float64(0.10833685463754858), np.float64(0.10836131103484986), np.float64(0.1259230730338904)]","['DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC']","[0.17067965 0.11505073 0.10786006 0.10638252 0.10565883 0.09082952
 0.09030144 0.08977947 0.05795466 0.03546084 0.03004226]","[np.float64(0.00455), np.float64(0.006750000000000001), np.float64(0.0072), np.float64(0.0073), np.float64(0.00735), np.float64(0.00855), np.float64(0.0086), np.float64(0.00865), np.float64(0.0134), np.float64(0.0219), np.float64(0.025849999999999998)]"
1466_cardiotocography,"['DyS', 'SMM', 'HDy', 'SORD', 'MAX', 'MS', 'ACC', 'X', 'PCC', 'CC', 'PACC']","[0.10154914 0.10101065 0.09828439 0.09742404 0.09437556 0.09426265
 0.09105491 0.09068646 0.08781537 0.08123745 0.06229938]","[np.float64(0.13328271495533747), np.float64(0.13399324659582484), np.float64(0.13771001706568337), np.float64(0.13892613959273384), np.float64(0.1434136684333286), np.float64(0.1435854538927158), np.float64(0.14864376843341942), np.float64(0.1492476966044643), np.float64(0.15412729258854), np.float64(0.1666072044967839), np.float64(0.21725327486503798)]","['ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC']","[1.42643888e-01 1.42643888e-01 1.42643888e-01 1.42643888e-01
 1.42643888e-01 1.42643888e-01 1.42643888e-01 9.50959253e-04
 4.75479626e-04 3.31729972e-05 3.31729972e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00015), np.float64(0.0003), np.float64(0.0043), np.float64(0.0043)]"
1475_first-order-theorem-proving,"['MS', 'DyS', 'SORD', 'SMM', 'MAX', 'PCC', 'HDy', 'X', 'ACC', 'CC', 'PACC']","[0.10127988 0.09989064 0.09987899 0.09731309 0.09638364 0.0942663
 0.09395085 0.09224317 0.08576953 0.0776847  0.06133921]","[np.float64(0.12994611948638124), np.float64(0.13175336097979395), np.float64(0.13176873855594476), np.float64(0.1352431466357743), np.float64(0.13654731823625513), np.float64(0.13961435130872354), np.float64(0.1400831157085947), np.float64(0.14267645415155877), np.float64(0.15344525273373436), np.float64(0.16941467004200356), np.float64(0.21455978765147288)]","['DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.12085614 0.11812144 0.11372197 0.10993639 0.10653481 0.10386802
 0.10177759 0.10026417 0.04442118 0.04431171 0.03618658]","[np.float64(0.06695000000000001), np.float64(0.0685), np.float64(0.07115), np.float64(0.0736), np.float64(0.07595), np.float64(0.0779), np.float64(0.0795), np.float64(0.08070000000000001), np.float64(0.18215), np.float64(0.1826), np.float64(0.2236)]"
1479_hill-valley,"['SMM', 'DyS', 'HDy', 'SORD', 'MAX', 'MS', 'PCC', 'X', 'ACC', 'CC', 'PACC']","[0.10085917 0.1001106  0.09772162 0.09607025 0.09344264 0.09143168
 0.08961749 0.08819523 0.08797724 0.08384457 0.0707295 ]","[np.float64(0.14531854372344494), np.float64(0.14640514540247218), np.float64(0.14998428659422763), np.float64(0.15256238956012713), np.float64(0.15685245782188456), np.float64(0.16030228498382257), np.float64(0.16354740168287824), np.float64(0.16618481953484623), np.float64(0.16659657609856773), np.float64(0.17480807835163098), np.float64(0.2072219733427493)]","['HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC']","[0.15940133 0.15257765 0.13687457 0.12307368 0.12041263 0.11314964
 0.05431597 0.05431597 0.04311897 0.02493852 0.01782107]","[np.float64(0.0559), np.float64(0.0584), np.float64(0.06509999999999999), np.float64(0.0724), np.float64(0.07400000000000001), np.float64(0.07875), np.float64(0.16405), np.float64(0.16405), np.float64(0.20665), np.float64(0.35729999999999995), np.float64(0.5)]"
1485_madelon,"['SMM', 'DyS', 'SORD', 'HDy', 'MAX', 'MS', 'X', 'ACC', 'PCC', 'CC', 'PACC']","[0.10274533 0.10028323 0.09966966 0.09587512 0.09430334 0.09312652
 0.0920591  0.08971324 0.08794391 0.07907454 0.065206  ]","[np.float64(0.13727329100448804), np.float64(0.14064355314674948), np.float64(0.14150935673643386), np.float64(0.14711000932561843), np.float64(0.14956193509475885), np.float64(0.15145192222200582), np.float64(0.1532079938307915), np.float64(0.15721413564387446), np.float64(0.16037710683922313), np.float64(0.17836576535928994), np.float64(0.21630201843900537)]","['HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X']","[0.10662874 0.10534303 0.10015034 0.10011209 0.0946015  0.09087845
 0.09047064 0.08283611 0.07948247 0.07680394 0.07269268]","[np.float64(0.24580000000000002), np.float64(0.2488), np.float64(0.26170000000000004), np.float64(0.2618), np.float64(0.27705), np.float64(0.2884), np.float64(0.2897), np.float64(0.3164), np.float64(0.32975), np.float64(0.34125), np.float64(0.36055)]"
1489_phoneme,"['DyS', 'SORD', 'HDy', 'MAX', 'SMM', 'X', 'ACC', 'MS', 'PCC', 'CC', 'PACC']","[0.11319321 0.11024864 0.10864441 0.10819604 0.10339708 0.10232025
 0.09140144 0.09034172 0.06766933 0.05563869 0.04894918]","[np.float64(0.1104107601812141), np.float64(0.1133596592270176), np.float64(0.11503351888285818), np.float64(0.11551022124988854), np.float64(0.12087138325927348), np.float64(0.12214344928341113), np.float64(0.13673469415504907), np.float64(0.13833861477140752), np.float64(0.1846885069540187), np.float64(0.2246233563177997), np.float64(0.25532086856823605)]","['DyS', 'HDy', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.12563263 0.11924114 0.11765126 0.11628322 0.11304096 0.10638678
 0.10504577 0.08060471 0.04857686 0.03422436 0.03331232]","[np.float64(0.059699999999999996), np.float64(0.0629), np.float64(0.06375), np.float64(0.0645), np.float64(0.06634999999999999), np.float64(0.0705), np.float64(0.07139999999999999), np.float64(0.09305), np.float64(0.15439999999999998), np.float64(0.21914999999999998), np.float64(0.22515000000000002)]"
1494_qsar-biodeg,"['MS', 'SMM', 'DyS', 'SORD', 'MAX', 'HDy', 'X', 'CC', 'ACC', 'PACC', 'PCC']","[0.11125159 0.10506705 0.10010022 0.09856648 0.097343   0.09578518
 0.09377035 0.08413547 0.08219348 0.06715234 0.06463485]","[np.float64(0.06263461278252443), np.float64(0.06632145920938565), np.float64(0.06961223894597404), np.float64(0.07069543637485468), np.float64(0.07158399241191851), np.float64(0.07274821185235161), np.float64(0.07431133846493773), np.float64(0.0828212002505742), np.float64(0.08477802274836607), np.float64(0.10376704869130302), np.float64(0.1078087229628828)]","['HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.14200956 0.12306337 0.1178696  0.11543372 0.10228156 0.08484622
 0.0818086  0.06962796 0.06784263 0.06097197 0.03424481]","[np.float64(0.0354), np.float64(0.04085), np.float64(0.042649999999999993), np.float64(0.043550000000000005), np.float64(0.04915), np.float64(0.05925), np.float64(0.061450000000000005), np.float64(0.0722), np.float64(0.0741), np.float64(0.08245), np.float64(0.14679999999999999)]"
1496_ringnorm,"['HDy', 'SORD', 'SMM', 'PCC', 'PACC', 'X', 'MAX', 'DyS', 'ACC', 'MS', 'CC']","[0.13556641 0.11325547 0.09539176 0.09002415 0.08998383 0.08118873
 0.08105175 0.07953952 0.07803543 0.07800816 0.07795478]","[np.float64(0.23027589251695707), np.float64(0.27563944149577346), np.float64(0.327257553328557), np.float64(0.34677000223064525), np.float64(0.346925381808925), np.float64(0.38450747320154405), np.float64(0.38515730407651244), np.float64(0.3924800683085372), np.float64(0.400044879004275), np.float64(0.4001847429589823), np.float64(0.4004587792345061)]","['DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.12837416 0.12035077 0.11591065 0.10963082 0.10922961 0.10436011
 0.09512985 0.09283668 0.04750814 0.04377997 0.03288925]","[np.float64(0.04650000000000001), np.float64(0.0496), np.float64(0.051500000000000004), np.float64(0.054450000000000005), np.float64(0.05465), np.float64(0.0572), np.float64(0.06275), np.float64(0.0643), np.float64(0.12564999999999998), np.float64(0.13635), np.float64(0.1815)]"
