dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
1043_ada_agnostic,"['MAX', 'HDy', 'DyS', 'SORD', 'X', 'SMM', 'ACC', 'PACC', 'MS', 'PCC', 'CC']","[0.13083008 0.12679014 0.11698008 0.10845315 0.1030945  0.09321132
 0.08783456 0.08596656 0.07230067 0.04193976 0.03259914]","[np.float32(0.06397064), np.float32(0.06600895), np.float32(0.07154452), np.float32(0.077169575), np.float32(0.0811807), np.float32(0.08978827), np.float32(0.09528463), np.float32(0.0973551), np.float32(0.11575664), np.float32(0.19955488), np.float32(0.2567333)]","['SORD', 'SMM', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[0.12773813 0.12527847 0.12123221 0.1203353  0.1074801  0.10208361
 0.09798387 0.07782451 0.06598508 0.02876273 0.02529599]","[np.float64(0.038200000000000005), np.float64(0.03895), np.float64(0.04025), np.float64(0.040549999999999996), np.float64(0.0454), np.float64(0.0478), np.float64(0.049800000000000004), np.float64(0.0627), np.float64(0.07395), np.float64(0.16965), np.float64(0.1929)]"
1460_banana,"['HDy', 'DyS', 'MAX', 'SORD', 'MS', 'PCC', 'X', 'ACC', 'SMM', 'CC', 'PACC']","[0.26474845 0.1716551  0.11157807 0.11157089 0.06826558 0.05489986
 0.05395056 0.04682576 0.04449486 0.0430681  0.02894275]","[np.float32(0.05462792), np.float32(0.08425417), np.float32(0.12961918), np.float32(0.12962751), np.float32(0.2118587), np.float32(0.26343706), np.float32(0.26807243), np.float32(0.3088611), np.float32(0.32504106), np.float32(0.33580908), np.float32(0.4996989)]","['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC']","[0.27492401 0.15858068 0.11337073 0.11310165 0.06749787 0.05630582
 0.05452345 0.04635554 0.04345303 0.04329512 0.0285921 ]","[np.float64(0.052000000000000005), np.float64(0.09015000000000001), np.float64(0.1261), np.float64(0.1264), np.float64(0.2118), np.float64(0.2539), np.float64(0.2622), np.float64(0.3084), np.float64(0.32899999999999996), np.float64(0.33020000000000005), np.float64(0.5)]"
1462_banknote-authentication,"['DyS', 'SORD', 'MAX', 'X', 'MS', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC']","[0.16968206 0.11572525 0.10777973 0.10452174 0.10352492 0.0926893
 0.09079584 0.08964196 0.05857382 0.03640262 0.03066264]","[np.float32(0.004707906), np.float32(0.0069029634), np.float32(0.0074118488), np.float32(0.00764288), np.float32(0.0077164723), np.float32(0.008618548), np.float32(0.00879828), np.float32(0.008911531), np.float32(0.013638296), np.float32(0.021944767), np.float32(0.026052786)]","['DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC']","[0.17067965 0.11505073 0.10786006 0.10638252 0.10565883 0.09082952
 0.09030144 0.08977947 0.05795466 0.03546084 0.03004226]","[np.float64(0.00455), np.float64(0.006750000000000001), np.float64(0.0072), np.float64(0.0073), np.float64(0.00735), np.float64(0.00855), np.float64(0.0086), np.float64(0.00865), np.float64(0.0134), np.float64(0.0219), np.float64(0.025849999999999998)]"
1466_cardiotocography,"['MS', 'X', 'PACC', 'MAX', 'DyS', 'SMM', 'ACC', 'SORD', 'HDy', 'CC', 'PCC']","[0.61534375 0.05964262 0.05426974 0.05196194 0.04662859 0.04602089
 0.04213876 0.03968917 0.02189746 0.01280936 0.00959765]","[np.float32(0.0014213067), np.float32(0.014663879), np.float32(0.016115652), np.float32(0.0168314), np.float32(0.018756563), np.float32(0.019004244), np.float32(0.020755056), np.float32(0.022036042), np.float32(0.039940357), np.float32(0.06827758), np.float32(0.09112562)]","['ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC']","[1.42643888e-01 1.42643888e-01 1.42643888e-01 1.42643888e-01
 1.42643888e-01 1.42643888e-01 1.42643888e-01 9.50959253e-04
 4.75479626e-04 3.31729972e-05 3.31729972e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00015), np.float64(0.0003), np.float64(0.0043), np.float64(0.0043)]"
1475_first-order-theorem-proving,"['DyS', 'HDy', 'SMM', 'MS', 'SORD', 'PCC', 'ACC', 'CC', 'MAX', 'X', 'PACC']","[0.16604301 0.14769877 0.12463188 0.12378417 0.11153855 0.0844448
 0.05877201 0.05793827 0.05683327 0.05447594 0.01383932]","[np.float32(0.03964928), np.float32(0.044573735), np.float32(0.052823454), np.float32(0.053185206), np.float32(0.059024315), np.float32(0.07796201), np.float32(0.11201738), np.float32(0.11362933), np.float32(0.115838595), np.float32(0.12085127), np.float32(0.47570875)]","['DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.12085614 0.11812144 0.11372197 0.10993639 0.10653481 0.10386802
 0.10177759 0.10026417 0.04442118 0.04431171 0.03618658]","[np.float64(0.06695000000000001), np.float64(0.0685), np.float64(0.07115), np.float64(0.0736), np.float64(0.07595), np.float64(0.0779), np.float64(0.0795), np.float64(0.08070000000000001), np.float64(0.18215), np.float64(0.1826), np.float64(0.2236)]"
1479_hill-valley,"['DyS', 'HDy', 'SORD', 'SMM', 'PACC', 'MAX', 'X', 'PCC', 'MS', 'ACC', 'CC']","[0.1824444  0.17970827 0.15823206 0.11977692 0.05957547 0.0590483
 0.05696833 0.05630118 0.05001619 0.04468422 0.03324464]","[np.float32(0.06820812), np.float32(0.06924662), np.float32(0.078645185), np.float32(0.103894725), np.float32(0.2088811), np.float32(0.21074596), np.float32(0.2184405), np.float32(0.22102892), np.float32(0.2488032), np.float32(0.2784918), np.float32(0.37432167)]","['HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC']","[0.15940133 0.15257765 0.13687457 0.12307368 0.12041263 0.11314964
 0.05431597 0.05431597 0.04311897 0.02493852 0.01782107]","[np.float64(0.0559), np.float64(0.0584), np.float64(0.06509999999999999), np.float64(0.0724), np.float64(0.07400000000000001), np.float64(0.07875), np.float64(0.16405), np.float64(0.16405), np.float64(0.20665), np.float64(0.35729999999999995), np.float64(0.5)]"
1485_madelon,"['SMM', 'SORD', 'HDy', 'DyS', 'MAX', 'PCC', 'X', 'MS', 'ACC', 'CC', 'PACC']","[0.16417973 0.1528655  0.14383481 0.12198054 0.081285   0.07168172
 0.06393542 0.05840303 0.05659829 0.05520333 0.03003261]","[np.float32(0.058857914), np.float32(0.06321424), np.float32(0.06718316), np.float32(0.079219826), np.float32(0.11888142), np.float32(0.1348081), np.float32(0.1511412), np.float32(0.16545847), np.float32(0.17073442), np.float32(0.1750488), np.float32(0.3217595)]","['HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X']","[0.10662874 0.10534303 0.10015034 0.10011209 0.0946015  0.09087845
 0.09047064 0.08283611 0.07948247 0.07680394 0.07269268]","[np.float64(0.24580000000000002), np.float64(0.2488), np.float64(0.26170000000000004), np.float64(0.2618), np.float64(0.27705), np.float64(0.2884), np.float64(0.2897), np.float64(0.3164), np.float64(0.32975), np.float64(0.34125), np.float64(0.36055)]"
1489_phoneme,"['DyS', 'HDy', 'SORD', 'SMM', 'MS', 'X', 'MAX', 'ACC', 'PACC', 'CC', 'PCC']","[0.12943558 0.1250515  0.11643583 0.11294816 0.11246767 0.10454354
 0.10405088 0.08387652 0.04635203 0.03294509 0.03189321]","[np.float32(0.055558965), np.float32(0.057506762), np.float32(0.061761983), np.float32(0.0636691), np.float32(0.063941106), np.float32(0.06878768), np.float32(0.06911337), np.float32(0.085736826), np.float32(0.15514548), np.float32(0.21828163), np.float32(0.22548081)]","['DyS', 'HDy', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.12563263 0.11924114 0.11765126 0.11628322 0.11304096 0.10638678
 0.10504577 0.08060471 0.04857686 0.03422436 0.03331232]","[np.float64(0.059699999999999996), np.float64(0.0629), np.float64(0.06375), np.float64(0.0645), np.float64(0.06634999999999999), np.float64(0.0705), np.float64(0.07139999999999999), np.float64(0.09305), np.float64(0.15439999999999998), np.float64(0.21914999999999998), np.float64(0.22515000000000002)]"
1494_qsar-biodeg,"['HDy', 'DyS', 'SMM', 'MS', 'SORD', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.14440441 0.12040427 0.11642882 0.111068   0.10120802 0.09105074
 0.08544771 0.06804509 0.06786472 0.06038071 0.03369749]","[np.float32(0.034016516), np.float32(0.040797018), np.float32(0.042190026), np.float32(0.04422638), np.float32(0.048535038), np.float32(0.053949423), np.float32(0.05748703), np.float32(0.07218941), np.float32(0.07238128), np.float32(0.081352726), np.float32(0.14577156)]","['HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.14200956 0.12306337 0.1178696  0.11543372 0.10228156 0.08484622
 0.0818086  0.06962796 0.06784263 0.06097197 0.03424481]","[np.float64(0.0354), np.float64(0.04085), np.float64(0.042649999999999993), np.float64(0.043550000000000005), np.float64(0.04915), np.float64(0.05925), np.float64(0.061450000000000005), np.float64(0.0722), np.float64(0.0741), np.float64(0.08245), np.float64(0.14679999999999999)]"
1496_ringnorm,"['HDy', 'SORD', 'SMM', 'PCC', 'PACC', 'MAX', 'X', 'DyS', 'ACC', 'MS', 'CC']","[0.12295371 0.10792951 0.09486928 0.09085643 0.09057242 0.0835657
 0.08356214 0.08248854 0.08118686 0.08102379 0.08099162]","[np.float32(0.32916164), np.float32(0.37498218), np.float32(0.4266043), np.float32(0.44544613), np.float32(0.44684285), np.float32(0.48430932), np.float32(0.4843299), np.float32(0.4906335), np.float32(0.4984999), np.float32(0.4995032), np.float32(0.4997016)]","['DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.12837416 0.12035077 0.11591065 0.10963082 0.10922961 0.10436011
 0.09512985 0.09283668 0.04750814 0.04377997 0.03288925]","[np.float64(0.04650000000000001), np.float64(0.0496), np.float64(0.051500000000000004), np.float64(0.054450000000000005), np.float64(0.05465), np.float64(0.0572), np.float64(0.06275), np.float64(0.0643), np.float64(0.12564999999999998), np.float64(0.13635), np.float64(0.1815)]"
1497_wall-robot-navigation,"['HDy', 'DyS', 'SMM', 'MAX', 'SORD', 'MS', 'X', 'PCC', 'PACC', 'ACC', 'CC']","[0.20408446 0.1372548  0.1371509  0.09478504 0.09184595 0.09180041
 0.07959116 0.05151805 0.04206865 0.03527361 0.03462689]","[np.float32(0.019852906), np.float32(0.029519329), np.float32(0.029541694), np.float32(0.042745877), np.float32(0.044113755), np.float32(0.044135634), np.float32(0.050906025), np.float32(0.07864563), np.float32(0.09631091), np.float32(0.11486405), np.float32(0.11700934)]","['DyS', 'SORD', 'SMM', 'MS', 'X', 'MAX', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[0.12278197 0.11549113 0.11479956 0.1124901  0.10533806 0.10435512
 0.09620121 0.09191828 0.05769591 0.04315135 0.03577731]","[np.float64(0.05465), np.float64(0.058100000000000006), np.float64(0.058449999999999995), np.float64(0.05965), np.float64(0.0637), np.float64(0.0643), np.float64(0.06974999999999999), np.float64(0.073), np.float64(0.11630000000000001), np.float64(0.1555), np.float64(0.18755)]"
1504_steel-plates-fault,"['DyS', 'HDy', 'SORD', 'X', 'SMM', 'MS', 'MAX', 'CC', 'PCC', 'ACC', 'PACC']","[0.1608915  0.15505762 0.11835636 0.10456666 0.09728457 0.09364448
 0.09324901 0.06121188 0.04662017 0.03698228 0.03213545]","[np.float32(0.051482808), np.float32(0.053419795), np.float32(0.0699848), np.float32(0.07921404), np.float32(0.08514348), np.float32(0.08845313), np.float32(0.08882826), np.float32(0.13531928), np.float32(0.17767304), np.float32(0.22397608), np.float32(0.25775728)]","['ACC', 'CC', 'DyS', 'MAX', 'MS', 'SORD', 'X', 'SMM', 'HDy', 'PACC', 'PCC']","[1.42428497e-01 1.42428497e-01 1.42428497e-01 1.42428497e-01
 1.42428497e-01 1.42428497e-01 1.42428497e-01 2.84856994e-03
 7.69883768e-05 3.74811834e-05 3.74811834e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(5e-05), np.float64(0.00185), np.float64(0.0038), np.float64(0.0038)]"
1507_twonorm,"['SORD', 'DyS', 'SMM', 'MS', 'HDy', 'X', 'ACC', 'MAX', 'PACC', 'CC', 'PCC']","[0.11435112 0.11101516 0.11077235 0.10772696 0.10060588 0.09150084
 0.08867814 0.08357197 0.07630973 0.06818742 0.0472805 ]","[np.float32(0.0095797395), np.float32(0.009867607), np.float32(0.009889237), np.float32(0.0101688), np.float32(0.010888568), np.float32(0.011972064), np.float32(0.0123531455), np.float32(0.013107911), np.float32(0.014355364), np.float32(0.016065339), np.float32(0.023169253)]","['SMM', 'SORD', 'DyS', 'MS', 'HDy', 'X', 'ACC', 'MAX', 'PACC', 'CC', 'PCC']","[0.11400371 0.11152537 0.11092253 0.10577664 0.1052342  0.09000293
 0.08960991 0.08586054 0.07516728 0.06493882 0.04695805]","[np.float64(0.009000000000000001), np.float64(0.0092), np.float64(0.009250000000000001), np.float64(0.0097), np.float64(0.00975), np.float64(0.011399999999999999), np.float64(0.01145), np.float64(0.01195), np.float64(0.01365), np.float64(0.0158), np.float64(0.02185)]"
1526_wall-robot-navigation,"['SORD', 'DyS', 'MAX', 'MS', 'PACC', 'X', 'HDy', 'CC', 'PCC', 'ACC', 'SMM']","[0.25088164 0.13571724 0.12267311 0.12241186 0.09254799 0.09052081
 0.06760166 0.04298535 0.031167   0.0224559  0.02103747]","[np.float32(0.013913923), np.float32(0.025720736), np.float32(0.028455686), np.float32(0.028516417), np.float32(0.037718244), np.float32(0.03856293), np.float32(0.051637013), np.float32(0.08120784), np.float32(0.11200138), np.float32(0.155449), np.float32(0.16593002)]","['DyS', 'HDy', 'MAX', 'SORD', 'X', 'SMM', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[0.15759164 0.14171238 0.13251173 0.11239914 0.10818508 0.10811519
 0.10057832 0.05364177 0.03696164 0.03110246 0.01720065]","[np.float64(0.05310000000000001), np.float64(0.059050000000000005), np.float64(0.06315), np.float64(0.07445), np.float64(0.07735), np.float64(0.0774), np.float64(0.0832), np.float64(0.156), np.float64(0.22640000000000002), np.float64(0.26905), np.float64(0.4865)]"
1535_volcanoes-b5,"['DyS', 'MAX', 'X', 'SORD', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'CC', 'PACC']","[0.15608661 0.15566395 0.14820343 0.12577526 0.10513181 0.09921514
 0.06381492 0.06254908 0.03077668 0.0278676  0.02491552]","[np.float32(0.054921914), np.float32(0.055071045), np.float32(0.0578433), np.float32(0.06815788), np.float32(0.08154122), np.float32(0.08640391), np.float32(0.13433497), np.float32(0.1370536), np.float32(0.2785413), np.float32(0.30761802), np.float32(0.34406576)]","['X', 'MAX', 'SORD', 'SMM', 'MS', 'ACC', 'DyS', 'PACC', 'HDy', 'PCC', 'CC']","[0.13245033 0.12840604 0.12688399 0.12593405 0.11376651 0.1067528
 0.10012614 0.09699204 0.03186694 0.01898861 0.01783255]","[np.float64(0.04445), np.float64(0.04585), np.float64(0.0464), np.float64(0.04675), np.float64(0.05175), np.float64(0.05515), np.float64(0.0588), np.float64(0.060700000000000004), np.float64(0.18475000000000003), np.float64(0.31005), np.float64(0.33015)]"
1538_volcanoes-d1,"['X', 'DyS', 'MAX', 'HDy', 'SORD', 'SMM', 'MS', 'ACC', 'PCC', 'PACC', 'CC']","[0.16161016 0.14392693 0.14174639 0.12456967 0.12390042 0.08635583
 0.0771887  0.05323145 0.0329653  0.02971111 0.02479412]","[np.float32(0.06890501), np.float32(0.07737085), np.float32(0.07856108), np.float32(0.08939374), np.float32(0.08987661), np.float32(0.1289519), np.float32(0.14426658), np.float32(0.20919493), np.float32(0.3378021), np.float32(0.3748008), np.float32(0.4491287)]","['DyS', 'MAX', 'X', 'SORD', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'CC', 'PACC']","[0.17101573 0.15163498 0.14960053 0.14066727 0.11828387 0.11010756
 0.05710256 0.04424693 0.0218261  0.01815012 0.01736435]","[np.float64(0.0489), np.float64(0.055150000000000005), np.float64(0.0559), np.float64(0.05945), np.float64(0.0707), np.float64(0.07595), np.float64(0.14645), np.float64(0.18899999999999997), np.float64(0.38315), np.float64(0.46075000000000005), np.float64(0.4816)]"
1539_volcanoes-d2,"['DyS', 'SORD', 'MAX', 'X', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'PACC', 'CC']","[0.18058985 0.13251323 0.1315709  0.12885198 0.12314078 0.10569246
 0.07133009 0.0617167  0.02224487 0.02143163 0.02091753]","[np.float32(0.044746872), np.float32(0.060981322), np.float32(0.061418075), np.float32(0.06271406), np.float32(0.0656227), np.float32(0.07645608), np.float32(0.11328783), np.float32(0.13093427), np.float32(0.36326712), np.float32(0.3770516), np.float32(0.38631868)]","['HDy', 'DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'ACC', 'PCC', 'CC', 'PACC']","[0.16256567 0.15254299 0.13932763 0.13014651 0.10972391 0.10234248
 0.08090315 0.04411314 0.03057904 0.02509512 0.02266037]","[np.float64(0.06924999999999999), np.float64(0.0738), np.float64(0.0808), np.float64(0.08650000000000001), np.float64(0.1026), np.float64(0.11), np.float64(0.13915), np.float64(0.2552), np.float64(0.36815), np.float64(0.4486), np.float64(0.4968)]"
1540_volcanoes-d3,"['SORD', 'DyS', 'X', 'MAX', 'MS', 'SMM', 'HDy', 'ACC', 'PACC', 'PCC', 'CC']","[0.14926577 0.14108191 0.1383509  0.13365191 0.11126328 0.08637731
 0.08511313 0.06657544 0.03474591 0.02951198 0.02406244]","[np.float32(0.06864741), np.float32(0.07262949), np.float32(0.07406318), np.float32(0.07666712), np.float32(0.09209425), np.float32(0.11862732), np.float32(0.120389275), np.float32(0.15391123), np.float32(0.29490396), np.float32(0.34720504), np.float32(0.42583823)]","['SORD', 'DyS', 'SMM', 'X', 'MAX', 'MS', 'ACC', 'HDy', 'PCC', 'PACC', 'CC']","[0.15127258 0.14774147 0.14015157 0.13747274 0.12781189 0.11592023
 0.06453145 0.0550944  0.02145798 0.02045387 0.01809183]","[np.float64(0.052300000000000006), np.float64(0.05355000000000001), np.float64(0.05645000000000001), np.float64(0.05755), np.float64(0.061900000000000004), np.float64(0.06825), np.float64(0.1226), np.float64(0.1436), np.float64(0.36869999999999997), np.float64(0.3868), np.float64(0.43729999999999997)]"
1541_volcanoes-d4,"['DyS', 'MAX', 'X', 'SMM', 'MS', 'SORD', 'HDy', 'ACC', 'PCC', 'CC', 'PACC']","[0.14957008 0.14559574 0.13661835 0.13624994 0.12941952 0.11445891
 0.07276778 0.04677243 0.02580132 0.02167497 0.02107097]","[np.float32(0.06549357), np.float32(0.06728135), np.float32(0.07170251), np.float32(0.07189638), np.float32(0.07569088), np.float32(0.08558423), np.float32(0.13461834), np.float32(0.20943703), np.float32(0.37966582), np.float32(0.45194426), np.float32(0.46489933)]","['MAX', 'X', 'DyS', 'SORD', 'SMM', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[0.16021633 0.15749342 0.14345066 0.13757293 0.11844213 0.07150395
 0.06310891 0.06138654 0.03123538 0.03018145 0.02540829]","[np.float64(0.0723), np.float64(0.07355), np.float64(0.08075000000000002), np.float64(0.0842), np.float64(0.0978), np.float64(0.162), np.float64(0.18355), np.float64(0.1887), np.float64(0.37085), np.float64(0.38380000000000003), np.float64(0.4559)]"
